Pixel,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
158,13.1903,15.1176,15.3806,16.7705,15.496,17.4371,18.7624,19.4994,21.5917,24.8108,26.782,27.7093,28.8939,28.9331
159,13.1995,14.0819,15.1303,16.4706,15.7024,17.8985,18.4371,20.5225,22.0092,25.4925,26.3852,27.8362,29.1534,29.7416
160,12.9412,15.3599,17.0346,18.8835,18.8408,21.0704,22.4694,24.9423,25.1084,27.9931,28.1499,29.519,30.5559,31.1534
161,13.2203,19.9066,22.2976,24.3253,24.8166,27.5409,29.7116,30.8985,29.09,30.083,30.1684,30.684,31.3645,31.2284
162,13.534,31.7497,31.6113,34.6782,34.9343,35.1292,35.1234,33.526,30.5802,31.3379,30.5017,29.4879,28.9723,28.5225
163,22.5329,39.9896,38.6482,37.9919,36.1361,35.3576,33.4452,30.0773,26.6794,28.1672,25.5871,23.549,23.2676,20.7036
164,42.7278,43.6805,40.248,37.3426,33.5029,31.323,27.97,24.4406,21.699,21.0288,19.7255,17.8039,16.8916,14.7612
165,57.0681,40.2111,38.5525,34.8558,31.0761,27.7797,25.2976,21.7347,19.0427,17.5686,17.8431,16.2042,14.8235,13.7197
166,53.1742,40.0381,39.4614,36.0634,32.6609,28.1938,26.8062,23.9423,20.3818,18.1788,17.7405,15.579,14.3172,12.7059
167,27.7843,37.0242,36.9031,35.4717,33.3818,30.9977,29.8916,29.2411,25.9273,23.3022,20.3806,18.083,17.1027,15.8847
168,16.2572,30.1719,31.1315,31.5836,31.7728,30.5582,29.7935,30.7935,28.361,27.6551,25.4521,22.6482,21.045,19.0577
169,15.0288,21.03,23.1511,24.9689,26.7024,25.8547,26.1995,27.9792,27.3795,29.4337,28.8651,26.8408,26.2687,24.128
170,15.6667,14,15,16,18.3333,19,20.6667,21.6667,23,27,27.6667,27.3333,30.3333,30.3333
